segment_id	utterance_id	onset	offset	duration
jp_S002_c01_01_seg	jp_S002_c01_01	0.190000	0.470000	0.280000
jp_S002_c01_02_seg	jp_S002_c01_02	0.150000	0.440000	0.290000
jp_S002_c02_01_seg	jp_S002_c02_01	0.170000	0.480000	0.310000
jp_S002_c02_02_seg	jp_S002_c02_02	0.180000	0.460000	0.280000
jp_S002_c03_01_seg	jp_S002_c03_01	0.099889	0.447360	0.347458
jp_S002_c03_02_seg	jp_S002_c03_02	0.150000	0.450000	0.300000
jp_S002_c04_01_seg	jp_S002_c04_01	0.230000	0.560000	0.330000
jp_S002_c04_02_seg	jp_S002_c04_02	0.140000	0.440000	0.300000
jp_S002_c05_01_seg	jp_S002_c05_01	0.167744	0.428938	0.261188
jp_S002_c05_02_seg	jp_S002_c05_02	0.183677	0.497522	0.313833
jp_S002_c06_01_seg	jp_S002_c06_01	0.170000	0.450000	0.280000
jp_S002_c06_02_seg	jp_S002_c06_02	0.180000	0.480000	0.300000
jp_S002_c07_01_seg	jp_S002_c07_01	0.170000	0.620000	0.450000
jp_S002_c07_02_seg	jp_S002_c07_02	0.184651	0.513057	0.328417
jp_S002_c08_01_seg	jp_S002_c08_01	0.160000	0.580000	0.420000
jp_S002_c08_02_seg	jp_S002_c08_02	0.100000	0.560000	0.460000
jp_S002_c09_01_seg	jp_S002_c09_01	0.150000	0.530000	0.380000
jp_S002_c09_02_seg	jp_S002_c09_02	0.150000	0.560000	0.410000
jp_S002_c10_01_seg	jp_S002_c10_01	0.200000	0.840000	0.640000
jp_S002_c10_02_seg	jp_S002_c10_02	0.180000	0.760000	0.580000
jp_S002_c11_01_seg	jp_S002_c11_01	0.170000	0.650000	0.480000
jp_S002_c11_02_seg	jp_S002_c11_02	0.169708	0.680225	0.510521
jp_S002_c12_01_seg	jp_S002_c12_01	0.200000	0.590000	0.390000
jp_S002_c12_02_seg	jp_S002_c12_02	0.180000	0.580000	0.400000
jp_S002_c13_01_seg	jp_S002_c13_01	0.190000	0.570000	0.380000
jp_S002_c13_02_seg	jp_S002_c13_02	0.180000	0.550000	0.370000
jp_S002_c14_01_seg	jp_S002_c14_01	0.120000	0.460000	0.340000
jp_S002_c14_02_seg	jp_S002_c14_02	0.170000	0.500000	0.330000
jp_S002_c15_01_seg	jp_S002_c15_01	0.120000	0.380000	0.260000
jp_S002_c15_02_seg	jp_S002_c15_02	0.120000	0.410000	0.290000
jp_S002_c16_01_seg	jp_S002_c16_01	0.110000	0.570000	0.460000
jp_S002_c16_02_seg	jp_S002_c16_02	0.130000	0.560000	0.430000
jp_S002_c17_01_seg	jp_S002_c17_01	0.130000	0.570000	0.440000
jp_S002_c17_02_seg	jp_S002_c17_02	0.130000	0.510000	0.380000
jp_S002_c18_01_seg	jp_S002_c18_01	0.180000	0.440000	0.260000
jp_S002_c18_02_seg	jp_S002_c18_02	0.160000	0.430000	0.270000
jp_S002_c19_01_seg	jp_S002_c19_01	0.160000	0.570000	0.410000
jp_S002_c19_02_seg	jp_S002_c19_02	0.155146	0.577962	0.422812
jp_S002_c20_01_seg	jp_S002_c20_01	0.180000	0.640000	0.460000
jp_S002_c20_02_seg	jp_S002_c20_02	0.180000	0.630000	0.450000
jp_S002_c21_01_seg	jp_S002_c21_01	0.170000	0.600000	0.430000
jp_S002_c21_02_seg	jp_S002_c21_02	0.150000	0.540000	0.390000
jp_S002_c22_01_seg	jp_S002_c22_01	0.170000	0.640000	0.470000
jp_S002_c22_02_seg	jp_S002_c22_02	0.180000	0.610000	0.430000
jp_S002_c23_01_seg	jp_S002_c23_01	0.090000	0.400000	0.310000
jp_S002_c23_02_seg	jp_S002_c23_02	0.183518	0.404709	0.221188
jp_S002_c24_01_seg	jp_S002_c24_01	0.600000	0.940000	0.340000
jp_S002_c24_02_seg	jp_S002_c24_02	0.570000	0.900000	0.330000
jp_S002_c25_01_seg	jp_S002_c25_01	0.400000	0.680000	0.280000
jp_S002_c25_02_seg	jp_S002_c25_02	0.440000	0.680000	0.240000
jp_S002_c26_01_seg	jp_S002_c26_01	0.170000	0.450000	0.280000
jp_S002_c26_02_seg	jp_S002_c26_02	0.150000	0.460000	0.310000
jp_S002_c27_01_seg	jp_S002_c27_01	0.525537	0.793875	0.268333
jp_S002_c27_02_seg	jp_S002_c27_02	0.500000	0.820000	0.320000
jp_S002_c28_01_seg	jp_S002_c28_01	0.720351	0.988306	0.267958
jp_S002_c28_02_seg	jp_S002_c28_02	0.700000	1.040000	0.340000
jp_S002_c29_01_seg	jp_S002_c29_01	0.660000	0.960000	0.300000
jp_S002_c29_02_seg	jp_S002_c29_02	0.728956	0.963579	0.234625
jp_S002_c30_01_seg	jp_S002_c30_01	0.460000	0.880000	0.420000
jp_S002_c30_02_seg	jp_S002_c30_02	0.440000	0.910000	0.470000
jp_S002_c31_01_seg	jp_S002_c31_01	0.540000	0.930000	0.390000
jp_S002_c31_02_seg	jp_S002_c31_02	0.550000	0.950000	0.400000
jp_S002_c32_01_seg	jp_S002_c32_01	0.680075	0.996026	0.315937
jp_S002_c32_02_seg	jp_S002_c32_02	0.667463	0.981682	0.314229
jp_S002_c33_01_seg	jp_S002_c33_01	0.730000	1.300000	0.570000
jp_S002_c33_02_seg	jp_S002_c33_02	0.841202	1.367637	0.526438
jp_S002_c34_01_seg	jp_S002_c34_01	0.530000	0.940000	0.410000
jp_S002_c34_02_seg	jp_S002_c34_02	0.540000	1.020000	0.480000
jp_S002_c35_01_seg	jp_S002_c35_01	0.700000	1.200000	0.500000
jp_S002_c35_02_seg	jp_S002_c35_02	0.713112	1.189169	0.476062
jp_S002_c36_01_seg	jp_S002_c36_01	0.560000	0.990000	0.430000
jp_S002_c36_02_seg	jp_S002_c36_02	0.520000	0.920000	0.400000
jp_S002_c37_01_seg	jp_S002_c37_01	0.560000	0.860000	0.300000
jp_S002_c37_02_seg	jp_S002_c37_02	0.580000	0.890000	0.310000
jp_S002_c38_01_seg	jp_S002_c38_01	0.550000	0.900000	0.350000
jp_S002_c38_02_seg	jp_S002_c38_02	0.580000	0.910000	0.330000
jp_S002_c39_01_seg	jp_S002_c39_01	0.650000	1.090000	0.440000
jp_S002_c39_02_seg	jp_S002_c39_02	0.660000	1.080000	0.420000
jp_S002_c40_01_seg	jp_S002_c40_01	0.560000	0.970000	0.410000
jp_S002_c40_02_seg	jp_S002_c40_02	0.510000	0.930000	0.420000
jp_S002_c41_01_seg	jp_S002_c41_01	1.161334	1.401041	0.239708
jp_S002_c41_02_seg	jp_S002_c41_02	1.160336	1.393165	0.232833
jp_S002_c42_01_seg	jp_S002_c42_01	0.700000	1.090000	0.390000
jp_S002_c42_02_seg	jp_S002_c42_02	0.670000	1.050000	0.380000
jp_S002_c43_01_seg	jp_S002_c43_01	0.810470	1.152080	0.341604
jp_S002_c43_02_seg	jp_S002_c43_02	0.770000	1.180000	0.410000
jp_S002_c44_01_seg	jp_S002_c44_01	0.580000	0.980000	0.400000
jp_S002_c44_02_seg	jp_S002_c44_02	0.610000	0.960000	0.350000
jp_S002_c45_01_seg	jp_S002_c45_01	0.550000	1.070000	0.520000
jp_S002_c45_02_seg	jp_S002_c45_02	0.540000	1.040000	0.500000
jp_S002_c46_01_seg	jp_S002_c46_01	0.720000	1.040000	0.320000
jp_S002_c46_02_seg	jp_S002_c46_02	0.716937	1.012200	0.295271
jp_S003_c01_01_seg	jp_S003_c01_01	0.190000	0.480000	0.290000
jp_S003_c01_02_seg	jp_S003_c01_02	0.180000	0.460000	0.280000
jp_S003_c02_01_seg	jp_S003_c02_01	0.180000	0.420000	0.240000
jp_S003_c02_02_seg	jp_S003_c02_02	0.170000	0.440000	0.270000
jp_S003_c03_01_seg	jp_S003_c03_01	0.160000	0.440000	0.280000
jp_S003_c03_02_seg	jp_S003_c03_02	0.110000	0.440000	0.330000
jp_S003_c04_01_seg	jp_S003_c04_01	0.110000	0.430000	0.320000
jp_S003_c04_02_seg	jp_S003_c04_02	0.160000	0.430000	0.270000
jp_S003_c05_01_seg	jp_S003_c05_01	0.180000	0.500000	0.320000
jp_S003_c05_02_seg	jp_S003_c05_02	0.158672	0.413489	0.254812
jp_S003_c06_01_seg	jp_S003_c06_01	0.180000	0.430000	0.250000
jp_S003_c06_02_seg	jp_S003_c06_02	0.190000	0.460000	0.270000
jp_S003_c07_01_seg	jp_S003_c07_01	0.164071	0.412852	0.248792
jp_S003_c07_02_seg	jp_S003_c07_02	0.195647	0.464850	0.269208
jp_S003_c08_01_seg	jp_S003_c08_01	0.130000	0.550000	0.420000
jp_S003_c08_02_seg	jp_S003_c08_02	0.120000	0.450000	0.330000
jp_S003_c09_01_seg	jp_S003_c09_01	0.090000	0.400000	0.310000
jp_S003_c09_02_seg	jp_S003_c09_02	0.090000	0.450000	0.360000
jp_S003_c10_01_seg	jp_S003_c10_01	0.720000	1.180000	0.460000
jp_S003_c10_02_seg	jp_S003_c10_02	0.200000	0.640000	0.440000
jp_S003_c11_01_seg	jp_S003_c11_01	0.165520	0.570869	0.405354
jp_S003_c11_02_seg	jp_S003_c11_02	0.143295	0.544249	0.400958
jp_S003_c12_01_seg	jp_S003_c12_01	0.190000	0.580000	0.390000
jp_S003_c12_02_seg	jp_S003_c12_02	0.190000	0.600000	0.410000
jp_S003_c13_01_seg	jp_S003_c13_01	0.180000	0.530000	0.350000
jp_S003_c13_02_seg	jp_S003_c13_02	0.180000	0.540000	0.360000
jp_S003_c14_01_seg	jp_S003_c14_01	0.170000	0.460000	0.290000
jp_S003_c14_02_seg	jp_S003_c14_02	0.170000	0.440000	0.270000
jp_S003_c15_01_seg	jp_S003_c15_01	0.170000	0.460000	0.290000
jp_S003_c15_02_seg	jp_S003_c15_02	0.170000	0.460000	0.290000
jp_S003_c16_01_seg	jp_S003_c16_01	0.620000	0.970000	0.350000
jp_S003_c16_02_seg	jp_S003_c16_02	0.170000	0.540000	0.370000
jp_S003_c17_01_seg	jp_S003_c17_01	0.170000	0.520000	0.350000
jp_S003_c17_02_seg	jp_S003_c17_02	0.170000	0.550000	0.380000
jp_S003_c18_01_seg	jp_S003_c18_01	0.110000	0.280000	0.170000
jp_S003_c18_02_seg	jp_S003_c18_02	0.680000	0.860000	0.180000
jp_S003_c19_01_seg	jp_S003_c19_01	0.181634	0.613450	0.431833
jp_S003_c19_02_seg	jp_S003_c19_02	0.610000	1.020000	0.410000
jp_S003_c20_01_seg	jp_S003_c20_01	0.180000	0.580000	0.400000
jp_S003_c20_02_seg	jp_S003_c20_02	0.180000	0.600000	0.420000
jp_S003_c21_01_seg	jp_S003_c21_01	0.180000	0.540000	0.360000
jp_S003_c21_02_seg	jp_S003_c21_02	0.140000	0.510000	0.370000
jp_S003_c22_01_seg	jp_S003_c22_01	0.180000	0.560000	0.380000
jp_S003_c22_02_seg	jp_S003_c22_02	0.160000	0.560000	0.400000
jp_S003_c23_01_seg	jp_S003_c23_01	0.130000	0.430000	0.300000
jp_S003_c23_02_seg	jp_S003_c23_02	0.140000	0.430000	0.290000
jp_S003_c24_01_seg	jp_S003_c24_01	0.560000	0.870000	0.310000
jp_S003_c24_02_seg	jp_S003_c24_02	0.560000	0.850000	0.290000
jp_S003_c25_01_seg	jp_S003_c25_01	0.489078	0.699978	0.210896
jp_S003_c25_02_seg	jp_S003_c25_02	0.550000	0.730000	0.180000
jp_S003_c26_01_seg	jp_S003_c26_01	0.120000	0.430000	0.310000
jp_S003_c26_02_seg	jp_S003_c26_02	0.120000	0.430000	0.310000
jp_S003_c27_01_seg	jp_S003_c27_01	0.470000	0.750000	0.280000
jp_S003_c27_02_seg	jp_S003_c27_02	0.510000	0.820000	0.310000
jp_S003_c28_01_seg	jp_S003_c28_01	0.590000	0.960000	0.370000
jp_S003_c28_02_seg	jp_S003_c28_02	0.590000	0.880000	0.290000
jp_S003_c29_01_seg	jp_S003_c29_01	1.060000	1.320000	0.260000
jp_S003_c29_02_seg	jp_S003_c29_02	0.570000	0.860000	0.290000
jp_S003_c30_01_seg	jp_S003_c30_01	0.360000	0.760000	0.400000
jp_S003_c30_02_seg	jp_S003_c30_02	0.400000	0.870000	0.470000
jp_S003_c31_01_seg	jp_S003_c31_01	1.060000	1.410000	0.350000
jp_S003_c31_02_seg	jp_S003_c31_02	0.520000	0.900000	0.380000
jp_S003_c32_01_seg	jp_S003_c32_01	0.680000	0.960000	0.280000
jp_S003_c32_02_seg	jp_S003_c32_02	0.700000	1.030000	0.330000
jp_S003_c33_01_seg	jp_S003_c33_01	1.123286	1.549683	0.426396
jp_S003_c33_02_seg	jp_S003_c33_02	0.656430	1.087622	0.431188
jp_S003_c34_01_seg	jp_S003_c34_01	0.510000	0.920000	0.410000
jp_S003_c34_02_seg	jp_S003_c34_02	0.930000	1.320000	0.390000
jp_S003_c35_01_seg	jp_S003_c35_01	0.626190	0.990933	0.364750
jp_S003_c35_02_seg	jp_S003_c35_02	0.630000	1.020000	0.390000
jp_S003_c36_01_seg	jp_S003_c36_01	0.500000	0.850000	0.350000
jp_S003_c36_02_seg	jp_S003_c36_02	0.450000	0.830000	0.380000
jp_S003_c37_01_seg	jp_S003_c37_01	0.500000	0.740000	0.240000
jp_S003_c37_02_seg	jp_S003_c37_02	0.490000	0.790000	0.300000
jp_S003_c38_01_seg	jp_S003_c38_01	0.470000	0.750000	0.280000
jp_S003_c38_02_seg	jp_S003_c38_02	0.500000	0.790000	0.290000
jp_S003_c39_01_seg	jp_S003_c39_01	0.520000	0.900000	0.380000
jp_S003_c39_02_seg	jp_S003_c39_02	0.480000	0.870000	0.390000
jp_S003_c40_01_seg	jp_S003_c40_01	0.460000	0.790000	0.330000
jp_S003_c40_02_seg	jp_S003_c40_02	0.479057	0.778257	0.299187
jp_S003_c41_01_seg	jp_S003_c41_01	1.030000	1.250000	0.220000
jp_S003_c41_02_seg	jp_S003_c41_02	0.955720	1.261905	0.306167
jp_S003_c42_01_seg	jp_S003_c42_01	0.650000	0.930000	0.280000
jp_S003_c42_02_seg	jp_S003_c42_02	0.559189	0.865524	0.306333
jp_S003_c43_01_seg	jp_S003_c43_01	0.760000	1.110000	0.350000
jp_S003_c43_02_seg	jp_S003_c43_02	0.810000	1.190000	0.380000
jp_S003_c44_01_seg	jp_S003_c44_01	0.580000	0.950000	0.370000
jp_S003_c44_02_seg	jp_S003_c44_02	0.540000	0.930000	0.390000
jp_S003_c45_01_seg	jp_S003_c45_01	0.550000	0.970000	0.420000
jp_S003_c45_02_seg	jp_S003_c45_02	0.980000	1.360000	0.380000
jp_S003_c46_01_seg	jp_S003_c46_01	0.680000	0.910000	0.230000
jp_S003_c46_02_seg	jp_S003_c46_02	0.640000	0.880000	0.240000
jp_S004_c01_01_seg	jp_S004_c01_01	0.190000	0.530000	0.340000
jp_S004_c01_02_seg	jp_S004_c01_02	0.180000	0.540000	0.360000
jp_S004_c02_01_seg	jp_S004_c02_01	0.150000	0.460000	0.310000
jp_S004_c02_02_seg	jp_S004_c02_02	0.170000	0.450000	0.280000
jp_S004_c03_01_seg	jp_S004_c03_01	0.180000	0.460000	0.280000
jp_S004_c03_02_seg	jp_S004_c03_02	0.150000	0.480000	0.330000
jp_S004_c04_01_seg	jp_S004_c04_01	0.180000	0.430000	0.250000
jp_S004_c04_02_seg	jp_S004_c04_02	0.180000	0.450000	0.270000
jp_S004_c05_01_seg	jp_S004_c05_01	0.170000	0.520000	0.350000
jp_S004_c05_02_seg	jp_S004_c05_02	0.160000	0.520000	0.360000
jp_S004_c06_01_seg	jp_S004_c06_01	0.170000	0.450000	0.280000
jp_S004_c06_02_seg	jp_S004_c06_02	0.190000	0.460000	0.270000
jp_S004_c07_01_seg	jp_S004_c07_01	0.191120	0.504965	0.313833
jp_S004_c07_02_seg	jp_S004_c07_02	0.155149	0.445615	0.290479
jp_S004_c08_01_seg	jp_S004_c08_01	0.090000	0.550000	0.460000
jp_S004_c08_02_seg	jp_S004_c08_02	0.080000	0.540000	0.460000
jp_S004_c09_01_seg	jp_S004_c09_01	0.110000	0.520000	0.410000
jp_S004_c09_02_seg	jp_S004_c09_02	0.130000	0.540000	0.410000
jp_S004_c10_01_seg	jp_S004_c10_01	0.200000	0.770000	0.570000
jp_S004_c10_02_seg	jp_S004_c10_02	0.180000	0.710000	0.530000
jp_S004_c11_01_seg	jp_S004_c11_01	0.155131	0.607136	0.452021
jp_S004_c11_02_seg	jp_S004_c11_02	0.151933	0.605786	0.453854
jp_S004_c12_01_seg	jp_S004_c12_01	0.190000	0.620000	0.430000
jp_S004_c12_02_seg	jp_S004_c12_02	0.180000	0.590000	0.410000
jp_S004_c13_01_seg	jp_S004_c13_01	0.180000	0.560000	0.380000
jp_S004_c13_02_seg	jp_S004_c13_02	0.180000	0.530000	0.350000
jp_S004_c14_01_seg	jp_S004_c14_01	0.180000	0.410000	0.230000
jp_S004_c14_02_seg	jp_S004_c14_02	0.170000	0.470000	0.300000
jp_S004_c15_01_seg	jp_S004_c15_01	0.180000	0.380000	0.200000
jp_S004_c15_02_seg	jp_S004_c15_02	0.130000	0.400000	0.270000
jp_S004_c16_01_seg	jp_S004_c16_01	0.170000	0.560000	0.390000
jp_S004_c16_02_seg	jp_S004_c16_02	0.170000	0.530000	0.360000
jp_S004_c17_01_seg	jp_S004_c17_01	0.170000	0.550000	0.380000
jp_S004_c17_02_seg	jp_S004_c17_02	0.180000	0.520000	0.340000
jp_S004_c18_01_seg	jp_S004_c18_01	0.040000	0.300000	0.260000
jp_S004_c18_02_seg	jp_S004_c18_02	0.170000	0.460000	0.290000
jp_S004_c19_01_seg	jp_S004_c19_01	0.180000	0.600000	0.420000
jp_S004_c19_02_seg	jp_S004_c19_02	0.180000	0.610000	0.430000
jp_S004_c20_01_seg	jp_S004_c20_01	0.180000	0.610000	0.430000
jp_S004_c20_02_seg	jp_S004_c20_02	0.180000	0.610000	0.430000
jp_S004_c21_01_seg	jp_S004_c21_01	0.180000	0.570000	0.390000
jp_S004_c21_02_seg	jp_S004_c21_02	0.130000	0.490000	0.360000
jp_S004_c22_01_seg	jp_S004_c22_01	0.170000	0.610000	0.440000
jp_S004_c22_02_seg	jp_S004_c22_02	0.170000	0.610000	0.440000
jp_S004_c23_01_seg	jp_S004_c23_01	0.110000	0.400000	0.290000
jp_S004_c23_02_seg	jp_S004_c23_02	0.080000	0.420000	0.340000
jp_S004_c24_01_seg	jp_S004_c24_01	0.540000	0.830000	0.290000
jp_S004_c24_02_seg	jp_S004_c24_02	0.490000	0.770000	0.280000
jp_S004_c25_01_seg	jp_S004_c25_01	0.510000	0.700000	0.190000
jp_S004_c25_02_seg	jp_S004_c25_02	0.460000	0.670000	0.210000
jp_S004_c26_01_seg	jp_S004_c26_01	0.171750	0.405312	0.233563
jp_S004_c26_02_seg	jp_S004_c26_02	0.179477	0.428616	0.249146
jp_S004_c27_01_seg	jp_S004_c27_01	0.470000	0.760000	0.290000
jp_S004_c27_02_seg	jp_S004_c27_02	0.470000	0.770000	0.300000
jp_S004_c28_01_seg	jp_S004_c28_01	0.630000	0.930000	0.300000
jp_S004_c28_02_seg	jp_S004_c28_02	0.588640	0.849260	0.260604
jp_S004_c29_01_seg	jp_S004_c29_01	0.550000	0.810000	0.260000
jp_S004_c29_02_seg	jp_S004_c29_02	0.560000	0.860000	0.300000
jp_S004_c30_01_seg	jp_S004_c30_01	0.390000	0.760000	0.370000
jp_S004_c30_02_seg	jp_S004_c30_02	0.390000	0.800000	0.410000
jp_S004_c31_01_seg	jp_S004_c31_01	0.550000	0.930000	0.380000
jp_S004_c31_02_seg	jp_S004_c31_02	0.540000	0.970000	0.430000
jp_S004_c32_01_seg	jp_S004_c32_01	0.580000	0.920000	0.340000
jp_S004_c32_02_seg	jp_S004_c32_02	0.620000	0.950000	0.330000
jp_S004_c33_01_seg	jp_S004_c33_01	0.670698	1.061728	0.391021
jp_S004_c33_02_seg	jp_S004_c33_02	0.666576	1.041263	0.374688
jp_S004_c34_01_seg	jp_S004_c34_01	0.530000	0.910000	0.380000
jp_S004_c34_02_seg	jp_S004_c34_02	0.520000	0.910000	0.390000
jp_S004_c35_01_seg	jp_S004_c35_01	0.610000	0.990000	0.380000
jp_S004_c35_02_seg	jp_S004_c35_02	0.590000	1.010000	0.420000
jp_S004_c36_01_seg	jp_S004_c36_01	0.450000	0.850000	0.400000
jp_S004_c36_02_seg	jp_S004_c36_02	0.520000	0.900000	0.380000
jp_S004_c37_01_seg	jp_S004_c37_01	0.510000	0.790000	0.280000
